,Player,Goals_21,ixG_21
544,Connor Clifton,2,2.67
545,Sean Monahan,3,8.55
546,Ryan Carpenter,2,6.38
547,Caleb Jones,4,2.3
548,Dean Kukan,3,2.31
549,Logan Brown,4,4.56
550,Riley Stillman,2,1.93
551,Gerry Mayhew,9,4.94
552,Casey Mittelstadt,4,4.19
553,Adam Ruzicka,5,3.01
554,Sebastian Aho,2,1.48
555,Alexander Romanov,3,3.08
556,Braden Schneider,2,1.41
557,Marco Scandella,2,3.59
558,Tyler Bozak,2,3.47
559,Jani Hakanpaa,2,2.13
560,Dylan DeMelo,0,2.9
561,Dominic Toninato,6,5.06
562,Anton Blidh,2,2.25
563,Jason Dickinson,4,6.12
564,Patrick Brown,4,4.68
565,Jacob Middleton,3,3.08
566,Gabriel Carlsson,2,0.69
567,Kevin Rooney,5,5.14
568,Lucas Carlsson,3,2.01
569,Dylan Coghlan,1,3.28
570,Zack MacEwen,3,8.32
571,Cal Foote,2,2.27
572,Klim Kostin,4,2.69
573,Sean Durzi,1,3.42
574,Mattias Samuelsson,0,1.91
575,Rasmus Kupari,3,4.89
576,Karson Kuhlman,2,5.89
577,Jasper Weatherby,4,4.54
578,Quinton Byfield,5,5.6
579,Brad Richardson,4,2.94
580,Andrew Ladd,4,4.74
581,Kris Russell,1,1.12
582,Keith Yandle,0,2.36
583,Alec Martinez,3,1.32
584,Zach Bogosian,3,2.47
585,Antoine Roussel,4,6.45
586,Cody Eakin,3,4.68
587,Ryan Dzingel,5,3.22
588,Joel Armia,4,7.82
589,Olli Maatta,1,2.29
590,Jaycob Megna,2,1.42
591,Dakota Joshua,3,4.1
592,Anders Bjork,5,4.28
593,Christian Fischer,4,5.58
594,Brandon Tanev,4,3.89
595,Gavin Bayreuther,0,1.58
596,Kole Lind,2,2.51
597,Fabian Zetterlund,3,2.82
598,Noah Cates,4,3.06
599,Tobias Bjornfot,0,2.37
600,Aliaksei Protas,3,3.97
601,Joe Thornton,2,2.66
602,Jack Johnson,1,1.73
603,Mathieu Perreault,3,2.58
604,Brendan Smith,3,1.91
605,Jordie Benn,0,1.15
606,Gregory Hofmann,2,2.63
607,Sean Couturier,3,5.46
608,Brendan Gaunce,5,3.78
609,Ross Johnston,2,1.21
610,Jordan Oesterle,1,1.71
611,Jake Walman,1,4.07
612,Austin Czarnik,2,1.11
613,Noel Acciari,3,4.23
614,Will Borgen,2,1.5
615,Cam Dineen,0,2.46
616,Josh Mahura,3,1.65
617,Givani Smith,4,4.19
618,Boris Katchouk,3,5.36
619,Nikita Zaitsev,1,2.08
620,Mikey Anderson,2,2.94
621,Sasha Chmelevski,0,2.45
622,Joel Kiviranta,1,5.8
623,Matt Martin,2,6.62
624,Calvin de Haan,3,4.02
625,Andrej Sustr,1,0.87
626,Buddy Robinson,1,2.97
627,Will Butcher,2,1.75
628,Josh Brown,0,1.26
629,Robert Hagg,0,2.26
630,Max Willman,4,4.28
631,Travis Dermott,1,2.27
632,Nicolas Meloche,2,1.58
633,Jeremy Lauzon,2,2.5
634,Mitchell Stephens,0,1.23
635,Julien Gauthier,2,7.38
636,Kale Clague,2,1.19
637,Victor Mete,0,1.42
638,Henrik Borgstrom,4,3.6
639,Oskar Steen,2,1.67
640,Casey Fitzgerald,0,1.59
641,Michael Carcone,4,3.31
642,Matt Luff,3,2.75
643,Jake Leschyshyn,2,3.57
644,Jonas Rondbjerg,2,3.3
645,Scott Reedy,4,3.25
646,Calle Rosen,2,0.86
647,Reese Johnson,1,2.13
648,Cam York,2,0.91
649,Jordan Spence,2,1.18
650,Cole Perfetti,2,1.88
651,Radim Zohorna,2,1.52
652,Paul Byron,3,2.65
653,Tyler Johnson,3,2.15
654,Patrik Nemeth,2,2.45
655,Joel Edmundson,2,0.77
656,Mark Jankowski,2,1.36
657,Kurtis MacDermid,2,2.15
658,Carter Rowney,4,1.74
659,Joel Hanley,2,0.72
660,Brendan Perlini,4,1.98
661,Mark Friedman,1,2.02
662,William Lagesson,0,0.91
663,Kyle Capobianco,0,2.23
664,Brett Murray,2,2.38
665,Dylan Gambrell,2,5.29
666,Jeffrey Viel,3,3.17
667,Alex Barré-Boulet,3,1.47
668,Vinni Lettieri,3,3.72
669,Nolan Patrick,2,2.75
670,Dylan Samberg,0,0.52
671,Erik Brannstrom,0,2.76
672,Morgan Barron,2,2.77
673,Connor Dewar,2,3.04
674,Simon Benoit,1,1.8
675,Joe Snively,3,2.02
676,Corey Schueneman,2,1.16
677,Brett Leason,3,3.28
678,Drew O'Connor,3,3.55
679,Matty Beniers,1,0.58
680,Andrej Sekera,1,0.8
681,Riley Nash,0,2.69
682,Kyle Turris,1,1.33
683,Colton Sceviour,2,3.03
684,Robert Bortuzzo,1,2.41
