"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"546","Colin White","OTT","C","45","572.23333333333","5","6","2","4","11","55.00","57","8.77","6.76","117","89","70","32","6","7","16","8","8","0","0","7","23","13","55","40","18","156","208","42.86"
"596","Jake DeBrusk","BOS","L","41","500.73333333333","3","8","4","4","11","68.75","71","4.23","6.1","102","87","66","26","5","6","6","3","3","0","0","8","7","19","29","43","18","5","6","45.45"
"597","Ivan Provorov","PHI","D","56","1029.5666666667","4","7","0","7","11","25.58","87","4.60","3.6","182","120","54","10","0","10","26","13","13","0","0","7","42","3","53","96","76","0","0","-"
"601","Yakov Trenin","NSH","C","44","488.3","5","6","5","1","11","64.71","60","8.33","5.39","103","88","54","24","2","8","22","11","11","0","0","4","13","10","92","35","20","4","8","33.33"
"639","Kevin Rooney","NYR","C","54","549.28333333333","5","6","3","3","11","57.89","53","9.43","4.63","77","64","49","26","4","4","47","11","6","3","2","12","13","9","106","68","25","175","196","47.17"
"698","Nikita Zaitsev","OTT","D","55","1038.55","2","9","5","4","11","33.33","66","3.03","1.96","168","106","32","0","1","10","24","12","12","0","0","6","50","4","111","94","81","0","0","-"
"706","Ross Colton","T.B","C","30","291.25","8","3","2","1","11","78.57","41","19.51","3.72","68","55","47","21","3","4","16","4","3","0","1","8","4","5","36","31","6","98","101","49.25"
"713","Dylan Gambrell","S.J","C","49","647.4","4","7","2","5","11","61.11","45","8.89","5.52","89","73","63","26","3","3","11","4","3","1","0","7","11","7","70","63","42","213","268","44.28"
"725","Zach Aston-Reese","PIT","C, L","45","560.65","7","4","0","4","11","55.00","72","9.72","6.83","108","89","64","34","6","8","15","6","5","1","0","4","15","11","90","64","20","4","11","26.67"
"734","Mario Ferraro","S.J","D","56","991.5","1","10","3","7","11","26.19","45","2.22","1.93","84","61","25","6","0","12","22","11","11","0","0","5","17","28","128","97","68","0","0","-"
