,Player,Goals_18,ixG_18,Goals_19,ixG_19
477,Dustin Byfuglien,2,3.98,,
478,Drew Stafford,4,5.58,,
479,Sam Gagner,4,4.47,3.0,6.15
480,Brendan Smith,4,4.98,2.0,3.11
481,Sami Vatanen,1,2.99,4.0,2.11
482,Marcus Kruger,4,6.17,,
483,Greg McKegg,6,3.68,3.0,4.75
484,Joakim Nordstrom,6,6.4,4.0,3.84
485,Nathan Beaulieu,3,1.83,1.0,1.28
486,Derrick Pouliot,2,2.45,0.0,0.01
487,Pierre-Edouard Bellemare,4,9.05,7.0,5.51
488,Nick Schmaltz,1,4.13,9.0,7.02
489,Jayce Hawryluk,7,3.9,3.0,2.6
490,Michael Amadio,6,3.77,6.0,7.8
491,Jakob Chychrun,2,3.06,7.0,4.21
492,Henrik Borgstrom,5,3.35,0.0,0.18
493,Michael Rasmussen,2,5.3,,
494,Kiefer Sherwood,6,5.68,0.0,1.29
495,Zdeno Chara,4,3.51,4.0,2.56
496,Chris Kunitz,5,4.72,,
497,Nate Thompson,4,4.71,4.0,6.39
498,Andrew Ladd,3,2.65,1.0,0.4
499,Vladimir Sobotka,3,4.61,1.0,1.4
500,Riley Nash,2,7.02,4.0,4.6
501,Jay Beagle,1,3.33,1.0,5.5
502,Tim Heed,1,1.21,1.0,1.12
503,Mike Reilly,2,3.89,0.0,2.48
504,Ty Rattie,4,7.58,,
505,Joel Edmundson,2,3.46,6.0,4.51
506,Matt Dumba,6,3.19,4.0,4.67
507,Olli Maatta,0,2.0,4.0,3.02
508,Chandler Stephenson,4,3.2,7.0,6.64
509,Connor Carrick,2,2.42,1.0,0.78
510,Christian Djoos,1,1.32,0.0,0.22
511,Tim Schaller,3,4.47,4.0,5.24
512,Madison Bowey,2,2.15,3.0,2.9
513,Adam Gaudette,5,4.39,7.0,6.32
514,Mason Appleton,3,2.36,4.0,4.5
515,Victor Mete,0,4.22,4.0,3.07
516,Tage Thompson,6,7.28,0.0,0.08
517,Lukas Radil,6,4.78,0.0,0.67
518,Brooks Orpik,2,1.16,,
519,Deryk Engelland,2,2.81,1.0,1.46
520,Ben Lovejoy,2,2.81,,
521,Robert Bortuzzo,2,3.19,2.0,1.5
522,Michael Del Zotto,1,2.32,2.0,2.42
523,Justin Schultz,1,1.52,3.0,2.69
524,Dale Weise,4,5.69,1.0,1.2
525,John Moore,1,3.13,2.0,1.34
526,Erik Gudbranson,2,2.89,4.0,2.23
527,Mark Pysyk,1,2.6,8.0,5.24
528,Tobias Rieder,0,7.02,2.0,7.48
529,Ben Hutton,3,2.56,4.0,4.12
530,Jacob de la Rose,3,4.01,2.0,3.85
531,William Carrier,8,8.89,7.0,9.11
532,Valeri Nichushkin,0,5.14,11.0,9.4
533,Mirco Mueller,1,1.33,2.0,1.57
534,Dryden Hunt,2,3.91,0.0,2.28
535,Rudolfs Balcers,2,5.06,1.0,2.38
536,Kevin Rooney,5,3.58,2.0,4.5
537,Matt Luff,6,3.37,1.0,2.25
538,Neal Pionk,2,4.0,3.0,4.31
539,Eric Fehr,4,5.63,,
540,Kyle Brodziak,5,6.54,,
541,Brandon Dubinsky,4,4.85,,
542,Roman Polak,1,3.14,0.0,1.77
543,Mario Kempe,3,4.17,,
544,Yannick Weber,2,1.92,1.0,1.32
545,Garrett Wilson,2,5.46,,
546,Christopher Tanev,1,1.08,1.0,2.13
547,Ryan Spooner,3,4.27,,
548,Patrik Nemeth,1,2.2,1.0,3.75
549,Tyler Pitlick,6,5.91,8.0,6.38
550,Devante Smith-Pelly,4,6.2,,
551,Taylor Fedun,4,2.59,2.0,1.55
552,Matthew Peca,3,2.61,0.0,1.18
553,Dmitrij Jaskin,2,5.38,,
554,Matt Grzelcyk,1,3.17,3.0,3.61
555,Boo Nieves,4,2.53,0.0,0.13
